Chilades laius
Chilasa clytia
Kallima sylvia
Mycalesis patnia
Parathyma perius
Polyura agrarius
Parathyma selenophora
Parathyma ranga
Aphnaeus lilacinus
Baracus vittatus
Limenitis asura
Pseudoborbo bevani
Polyura schreiber
Gerosis phisara
Deudorix isocrates
Limenitis jina
Apatura parisatis
Tajuria maculatus
Ops melastigma
Chliaria nilgirica
Aphnaeus ictis
Actinor radians
Melanitis atrax
Prothoe franck
Ypthima savara
Lethe ramadeva
Euploea eyndhovii
Heliophorus saphir
Heliophorus viridipunctata
Lysandra bellargus
Chrysozephyrus tytleri
Castalius ananda
Cyaniris albidisca
Parnara apostata
