scientific_name,family,india_records,gbif_key
Chilades laius,Lycaenidae,2677,1922285
Chilasa clytia,Papilionidae,1775,1939086
Kallima sylvia,Nymphalidae,724,1909659
Mycalesis patnia,Nymphalidae,517,1893538
Parathyma perius,Nymphalidae,303,1901404
Polyura agrarius,Nymphalidae,294,5127835
Parathyma selenophora,Nymphalidae,274,1901399
Parathyma ranga,Nymphalidae,266,1901428
Aphnaeus lilacinus,Lycaenidae,99,1927445
Baracus vittatus,Hesperiidae,92,5142001
Limenitis asura,Nymphalidae,55,11425145
Pseudoborbo bevani,Hesperiidae,47,1948941
Polyura schreiber,Nymphalidae,33,9963153
Gerosis phisara,Hesperiidae,33,9050611
Deudorix isocrates,Lycaenidae,18,10423131
Limenitis jina,Nymphalidae,16,11830689
Apatura parisatis,Nymphalidae,16,5131820
Tajuria maculatus,Lycaenidae,16,1922111
Ops melastigma,Lycaenidae,7,5138165
Chliaria nilgirica,Lycaenidae,5,1930970
Aphnaeus ictis,Lycaenidae,2,1927447
Actinor radians,Hesperiidae,2,6203434
Melanitis atrax,Nymphalidae,1,1896007
Prothoe franck,Nymphalidae,1,1901213
Ypthima savara,Nymphalidae,1,1907611
Lethe ramadeva,Nymphalidae,1,1918529
Euploea eyndhovii,Nymphalidae,1,5136866
Heliophorus saphir,Lycaenidae,1,1923625
Heliophorus viridipunctata,Lycaenidae,1,1923630
Lysandra bellargus,Lycaenidae,1,1925233
Chrysozephyrus tytleri,Lycaenidae,1,1929090
Castalius ananda,Lycaenidae,1,1932627
Cyaniris albidisca,Lycaenidae,1,5139073
Parnara apostata,Hesperiidae,1,1943225
