queried_name,verdict,matched_as,common_name,family,matched_by,reason_if_hidden,what_it_means,species_id
Chilades laius,NAME_MISMATCH,Libythea laius,Lobed Beak,Nymphalidae,"same epithet, different genus: Libythea laius",,In the database under a different accepted name. Searchable once the old name is added as a synonym.,87cc474a-cd28-41c1-a83e-11d00da7b5f9
Chilasa clytia,NAME_MISMATCH,Papilio clytia,Common Mime,Papilionidae,"same epithet, different genus: Papilio clytia",,In the database under a different accepted name. Searchable once the old name is added as a synonym.,73833238-0fc9-499a-aa36-ac0aaab5e063
Kallima sylvia,NAME_MISMATCH,Parthenos sylvia,Clipper,Nymphalidae,"same epithet, different genus: Parthenos sylvia",,In the database under a different accepted name. Searchable once the old name is added as a synonym.,afcbbd39-f1e5-4501-86f6-7121389d7284
Mycalesis patnia,ABSENT,,,,no match in catalog,,"Not in the catalog — no GBIF-digitised Indian occurrence record at ingestion time, so the discovery pass never saw it. Needs manual addition.",
Parathyma perius,NAME_MISMATCH,Athyma perius,Common Sergeant,Nymphalidae,"same epithet, different genus: Athyma perius",,In the database under a different accepted name. Searchable once the old name is added as a synonym.,79ca3b51-fadb-45ba-a369-621401c2e466
Polyura agrarius,NAME_MISMATCH,Charaxes agrarius,Anomalous Nawab,Nymphalidae,"same epithet, different genus: Charaxes agrarius",,In the database under a different accepted name. Searchable once the old name is added as a synonym.,6cfff641-e859-401e-b67f-276e83276412
Parathyma selenophora,NAME_MISMATCH,Athyma selenophora,Staff Sergeant,Nymphalidae,"same epithet, different genus: Athyma selenophora",,In the database under a different accepted name. Searchable once the old name is added as a synonym.,5597b072-f9e6-458d-b554-62faee96a020
Parathyma ranga,NAME_MISMATCH,Athyma ranga,Blackvein Sergeant,Nymphalidae,"same epithet, different genus: Athyma ranga",,In the database under a different accepted name. Searchable once the old name is added as a synonym.,fdb3027c-ea1a-4cb2-9874-216473d206db
Aphnaeus lilacinus,NAME_MISMATCH,Cigaritis lilacinus,Lilac Silverline,Lycaenidae,"same epithet, different genus: Cigaritis lilacinus",,In the database under a different accepted name. Searchable once the old name is added as a synonym.,14d8a06a-63a3-4465-aa1b-a73c081567a3
Baracus vittatus,ABSENT,,,,no match in catalog,,"Not in the catalog — no GBIF-digitised Indian occurrence record at ingestion time, so the discovery pass never saw it. Needs manual addition.",
Limenitis asura,NAME_MISMATCH,Athyma asura,Burmese Sergeant,Nymphalidae,"epithet matches several: Athyma asura, Parathyma asura",,In the database under a different accepted name. Searchable once the old name is added as a synonym.,1509e836-555d-4d9e-8f3a-800abfb5b5fb
Pseudoborbo bevani,NAME_MISMATCH,Borbo bevani,Lesser Rice Swift,Hesperiidae,"same epithet, different genus: Borbo bevani",,In the database under a different accepted name. Searchable once the old name is added as a synonym.,e414b00b-e8b8-4374-a4f4-1c3b01dabab2
Polyura schreiber,NAME_MISMATCH,Charaxes schreiber,Blue Nawab,Nymphalidae,"same epithet, different genus: Charaxes schreiber",,In the database under a different accepted name. Searchable once the old name is added as a synonym.,dacc2811-d342-4e08-ba31-ca3da18a8dfa
Gerosis phisara,NAME_MISMATCH,Daimio phisara,Daimio phisara,Hesperiidae,"same epithet, different genus: Daimio phisara",,In the database under a different accepted name. Searchable once the old name is added as a synonym.,1e97e0f3-c869-48d5-93ae-f79d7927085d
Deudorix isocrates,NAME_MISMATCH,Virachola isocrates,Common Gauva Blue,Lycaenidae,"same epithet, different genus: Virachola isocrates",,In the database under a different accepted name. Searchable once the old name is added as a synonym.,830c01f0-11f2-4a76-84f2-df9a0425a676
Limenitis jina,HIDDEN,Pantoporia jina,Pantoporia jina,Nymphalidae,"same epithet, different genus: Pantoporia jina",Deactivated: no licensed image available on Commons or iNaturalist. Genuine Indian species; reversible — reactivate if an image is found.,"Row exists but is deactivated, so the app hides it. Reversible — set is_active=true.",869cb806-c6f0-4227-bca4-6d71a9957315
