name,family,india_records,verdict,active,checked_names
Chilades laius,Lycaenidae,2677,TRULY_ABSENT,,chilades laius; hesperia cajus; papilio laius
Chilasa clytia,Papilionidae,1775,IN_DB_AS:Papilio clytia,True,chilasa clytia; chilasa clytia anuus; chilasa clytia duboisi; chilasa clytia gulam; chilasa clytia partidu; papilio casyapa; papilio clytia; papilio clytia lanata; papilio clytia palephatides; papilio clytia sapores; papilio dissimilis; papilio onpape; papilio panope; papilio panope panopinus; papilio papone; papilio saturata
Kallima sylvia,Nymphalidae,724,IN_DB_AS:Parthenos sylvia,True,kallima sylvia; parthenos jaraensis; parthenos sylvia
Mycalesis patnia,Nymphalidae,517,IN_DB_AS:Mycalesis junonia,True,mycalesis junonia; mycalesis patnia
Parathyma perius,Nymphalidae,303,IN_DB_AS:Athyma perius,True,athyma atramenta; athyma eriosine; athyma hoso; athyma insolitus; athyma leucothoe; athyma perius; athyma perius perius; athyma polyxena; pantoporia perius hoso; papilio erosine; papilio perius; parathyma perius
Polyura agrarius,Nymphalidae,294,TRULY_ABSENT,,polyura agrarius
Parathyma selenophora,Nymphalidae,274,IN_DB_AS:Athyma selenophora,True,athyma selenophora; parathyma selenophora
Parathyma ranga,Nymphalidae,266,IN_DB_AS:Athyma ranga,True,athyma ranga; parathyma ranga
Aphnaeus lilacinus,Lycaenidae,99,TRULY_ABSENT,,aphnaeus lilacinus
Baracus vittatus,Hesperiidae,92,TRULY_ABSENT,,baracus vittatus; hesperilla eaclis; isoteinon vittatus
Limenitis asura,Nymphalidae,55,TRULY_ABSENT,,limenitis asura
Pseudoborbo bevani,Hesperiidae,47,IN_DB_AS:Borbo bevani,True,borbo bevani; hesperia bevani; hesperia vaika; isoteinon modesta; pamphila sarus; parnara thyone; pseudoborbo bevani; pseudoborbo modesta; pseudoborbo sarus; pseudoborbo thyone; pseudoborbo vaika
Polyura schreiber,Nymphalidae,33,TRULY_ABSENT,,polyura schreiber
Gerosis phisara,Hesperiidae,33,TRULY_ABSENT,,gerosis phisara
Deudorix isocrates,Lycaenidae,18,TRULY_ABSENT,,deudorix isocrates; hesperia isocrates; hesperia pann
