verdict,scientific_name,common_name,family,is_active,detail,image_url,license,source_page_url,species_id
NO_IMAGE,Hyarotis coorga,Kodagu Brush Flitter,Hesperiidae,True,no image record,,,,0954be5b-9d7a-484f-828a-4fa5e818e2cf
NO_PROVENANCE,Burara gomata,Pale green awlet,Hesperiidae,True,b6d1cc8683b5415c9e8342093fb5dcf2.jpg,https://butterfly-identification.b-cdn.net/species/f7069db6-0c05-4372-99c0-6f0cf6f502d2/b6d1cc8683b5415c9e8342093fb5dcf2.jpg,,,f7069db6-0c05-4372-99c0-6f0cf6f502d2
PLATE,Ochlodes siva,Assam Darter,Hesperiidae,True,Seitz9FaunaIndoAustralicaPlate172.JPG — plate page (many species on one image),https://butterfly-identification.b-cdn.net/species/hesperiidae/ochlodes_siva/adult_reference.webp,Public domain,https://commons.wikimedia.org/wiki/File:Seitz9FaunaIndoAustralicaPlate172.JPG,460baa7f-8e25-4093-b888-3bc201cd0416
PLATE,Pirdana hyela,Green-striped Palmer,Hesperiidae,True,Seitz_Macrolepidoptera_IndoAustralia_Plate_174_-_Copy.jpg — plate page (many species on one image),https://butterfly-identification.b-cdn.net/species/hesperiidae/pirdana_hyela/adult_reference.webp,Public domain,https://commons.wikimedia.org/wiki/File:Seitz_Macrolepidoptera_IndoAustralia_Plate_174_-_Copy.jpg,41d44169-81e9-4a80-b73a-80127b1f7a2b
PLATE,Pyrgus cashmirensis,Kashmir Skipper,Hesperiidae,True,Macrolepidoptera01seitz_0177.jpg — plate page (many species on one image),https://butterfly-identification.b-cdn.net/species/hesperiidae/pyrgus_cashmirensis/adult_reference.webp,Public domain,https://commons.wikimedia.org/wiki/File:Macrolepidoptera01seitz_0177.jpg,6750c958-7456-4ab2-9e14-88dabb6eff3e
PLATE,Abisara kausambi,Straight Plum Judy,Lycaenidae,True,Seitz9FaunaIndoAustralicaPlate138.JPG — plate page (many species on one image),https://butterfly-identification.b-cdn.net/species/lycaenidae/abisara_kausambi/adult_reference.webp,Public domain,https://commons.wikimedia.org/wiki/File:Seitz9FaunaIndoAustralicaPlate138.JPG,404ddf3c-a20e-43dd-ad23-a0a03f5fdff6
PLATE,Amblypodia anniella,Amblypodia anniella,Lycaenidae,True,Illustrations_of_diurnal_Lepidoptera_British_Museum_Catalogue_VIII.jpg — plate page (many species on one image),https://butterfly-identification.b-cdn.net/species/lycaenidae/amblypodia_anniella/adult_reference.webp,Public domain,https://commons.wikimedia.org/wiki/File:Illustrations_of_diurnal_Lepidoptera_British_Museum_Catalogue_VIII.jpg,0eb8c49d-ad5e-4e5b-b939-09e4b19c2f7e
PLATE,Arhopala perimuta,Yellowdisc Oakblue,Lycaenidae,True,Close_wing_basking_position_of_Arhopala_perimuta_%28Moore%2C_-1858-%29_-_Yellowdisc_Tailless_Oakblue_2.jpg — plate page (many species on one image),https://butterfly-identification.b-cdn.net/species/lycaenidae/arhopala_perimuta/adult_reference.webp,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Close_wing_basking_position_of_Arhopala_perimuta_(Moore,_-1858-)_-_Yellowdisc_Tailless_Oakblue_2.jpg",a529ff8f-6bbb-4e46-b62d-212da9af5c33
PLATE,Cheritra jafra,Cheritra jafra,Lycaenidae,True,HorsfieldMoorCatalogueEastIndiaCompanyLepidoptera2Plate2.jpg — plate page (many species on one image),https://butterfly-identification.b-cdn.net/species/lycaenidae/cheritra_jafra/adult_reference.webp,Public domain,https://commons.wikimedia.org/wiki/File:HorsfieldMoorCatalogueEastIndiaCompanyLepidoptera2Plate2.jpg,61a17fbc-4c73-49eb-a51d-a007d2b687e4
PLATE,Cheritrella truncipennis,Truncate Imperial,Lycaenidae,True,Seitz9FaunaIndoAustralicaPlate159.jpg — plate page (many species on one image),https://butterfly-identification.b-cdn.net/species/lycaenidae/cheritrella_truncipennis/adult_reference.webp,Public domain,https://commons.wikimedia.org/wiki/File:Seitz9FaunaIndoAustralicaPlate159.jpg,fe9a1125-7019-42df-9d53-f8f822ef2972
PLATE,Chrysozephyrus duma,Chrysozephyrus duma,Lycaenidae,True,Macrolepidoptera01seitz_0155.jpg — plate page (many species on one image),https://butterfly-identification.b-cdn.net/species/lycaenidae/chrysozephyrus_duma/adult_reference.webp,Public domain,https://commons.wikimedia.org/wiki/File:Macrolepidoptera01seitz_0155.jpg,2c5b29e7-7950-40b3-91ef-c7a3e73182c3
PLATE,Cigaritis ictis,Common Shot Silverline,Lycaenidae,True,Illustrations_of_diurnal_Lepidoptera_25.jpg — plate page (many species on one image),https://butterfly-identification.b-cdn.net/species/lycaenidae/aphnaeus_ictis/adult_reference.webp,Public domain,https://commons.wikimedia.org/wiki/File:Illustrations_of_diurnal_Lepidoptera_25.jpg,f026d2fc-08b1-4e27-a3d0-e4b80322f549
PLATE,Dodona durga,Common Punch,Lycaenidae,True,Seitz9FaunaIndoAustralicaPlate139.JPG — plate page (many species on one image),https://butterfly-identification.b-cdn.net/species/lycaenidae/dodona_durga/adult_reference.webp,Public domain,https://commons.wikimedia.org/wiki/File:Seitz9FaunaIndoAustralicaPlate139.JPG,b670e619-d04d-473b-9ddf-c59a6d36bb7d
PLATE,Heliophorus oda,Eastern Blue Sapphire,Lycaenidae,True,Illustrations_of_diurnal_Lepidoptera_24.jpg — plate page (many species on one image),https://butterfly-identification.b-cdn.net/species/lycaenidae/heliophorus_oda/adult_reference.webp,Public domain,https://commons.wikimedia.org/wiki/File:Illustrations_of_diurnal_Lepidoptera_24.jpg,0e0f158a-ffef-4c4c-85fa-1e2c48e9a5a8
PLATE,Iraota rochana,Scarce Silverstreak Blue,Lycaenidae,True,Seitz9FaunaIndoAustralicaPlate161.JPG — plate page (many species on one image),https://butterfly-identification.b-cdn.net/species/lycaenidae/iraota_rochana/adult_reference.webp,Public domain,https://commons.wikimedia.org/wiki/File:Seitz9FaunaIndoAustralicaPlate161.JPG,edca7f25-716e-48e2-807b-19ae968e6a35
PLATE,Lycaena panava,White-bordered Copper,Lycaenidae,True,The_Macrolepidoptera_of_the_world_%28Taf._78%29_%288145300764%29.jpg — plate page (many species on one image),https://butterfly-identification.b-cdn.net/species/lycaenidae/lycaena_panava/adult_reference.webp,Public domain,https://commons.wikimedia.org/wiki/File:The_Macrolepidoptera_of_the_world_(Taf._78)_(8145300764).jpg,d8aec820-a93f-40a0-9739-b9603baecb45
PLATE,Poritia erycinoides,Blue Gem,Lycaenidae,True,Seitz_Macrolepidoptera_Indoaustralian_Fauna_Plate_146.jpg — plate page (many species on one image),https://butterfly-identification.b-cdn.net/species/lycaenidae/poritia_erycinoides/adult_reference.webp,Public domain,https://commons.wikimedia.org/wiki/File:Seitz_Macrolepidoptera_Indoaustralian_Fauna_Plate_146.jpg,6c2691c9-0524-4961-a05b-d5cd70969ad9
PLATE,Tajuria illurgis,Tajuria illurgis,Lycaenidae,True,Seitz_Macrolepidoptera_IndoAustralica_Fauna_Plate_156.jpg — plate page (many species on one image),https://butterfly-identification.b-cdn.net/species/lycaenidae/tajuria_illurgis/adult_reference.webp,Public domain,https://commons.wikimedia.org/wiki/File:Seitz_Macrolepidoptera_IndoAustralica_Fauna_Plate_156.jpg,fcf4f3f4-9e39-482c-9450-056406186254
PLATE,Thecla cleon,Thecla cleon,Lycaenidae,True,Illustrations_of_diurnal_Lepidoptera_56.jpg — plate page (many species on one image),https://butterfly-identification.b-cdn.net/species/lycaenidae/thecla_cleon/adult_reference.webp,Public domain,https://commons.wikimedia.org/wiki/File:Illustrations_of_diurnal_Lepidoptera_56.jpg,8b70d480-6cba-411d-ad18-b8c63b2ff902
PLATE,Acraea aganice,Common Wanderer,Nymphalidae,True,SeitzFaunaAfricanaXIIITaf58.jpg — plate page (many species on one image),https://butterfly-identification.b-cdn.net/species/nymphalidae/acraea_aganice/adult_reference.webp,Public domain,https://commons.wikimedia.org/wiki/File:SeitzFaunaAfricanaXIIITaf58.jpg,652cb1bb-76c5-4fac-bdce-6b258aad6c18
PLATE,Apatura parvata,Apatura parvata,Nymphalidae,True,HorsfieldMoorCatalogueEastIndiaCompanyLepidopteraPlateVIa.jpg — plate page (many species on one image),https://butterfly-identification.b-cdn.net/species/nymphalidae/apatura_parvata/adult_reference.webp,Public domain,https://commons.wikimedia.org/wiki/File:HorsfieldMoorCatalogueEastIndiaCompanyLepidopteraPlateVIa.jpg,49d074a3-4dbb-4509-a2e8-5cdc72a36108
PLATE,Athyma asura,Burmese Sergeant,Nymphalidae,True,Openwing_position_of_Athyma_asura_Moore%2C_-1858-_-_Studded_Sergeant.jpg — plate page (many species on one image),https://butterfly-identification.b-cdn.net/species/nymphalidae/athyma_asura/adult_reference.webp,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Openwing_position_of_Athyma_asura_Moore,_-1858-_-_Studded_Sergeant.jpg",1509e836-555d-4d9e-8f3a-800abfb5b5fb
PLATE,Athyma perius,Common Sergeant,Nymphalidae,True,HorsfieldMoorCatalogueEastIndiaCompanyLepidoptera2Plate4.jpg — plate page (many species on one image),https://butterfly-identification.b-cdn.net/species/nymphalidae/parathyma_perius/adult_reference.webp,Public domain,https://commons.wikimedia.org/wiki/File:HorsfieldMoorCatalogueEastIndiaCompanyLepidoptera2Plate4.jpg,79ca3b51-fadb-45ba-a369-621401c2e466
PLATE,Discophora celinde,Discophora celinde,Nymphalidae,True,Seitz9FaunaIndoAustralicaPlate106.JPG — plate page (many species on one image),https://butterfly-identification.b-cdn.net/species/nymphalidae/discophora_celinde/adult_reference.webp,Public domain,https://commons.wikimedia.org/wiki/File:Seitz9FaunaIndoAustralicaPlate106.JPG,f10455e2-7df1-433b-af72-9e3d12a50458
