Abisara kausambi
Acraea aganice
Aglais ladakensis
Agriades aquilo
Agriades glandon
Algia fasciata
Amblypodia anniella
Amblypodia rama
Amnosia decora
Apatura parvata
Aphnaeus syama
Aporia leucodice
Appias galene
Appias lalassis
Appias pandione
Appias wardii
Arhopala abseus
Arhopala adriana
Arhopala alea
Arhopala alemon
Arhopala anthelus
Arhopala ariana
Arhopala asopia
Arhopala camdeo
Arhopala corinda
Arhopala diardi
Arhopala eumolphus
Arhopala fulla
Arhopala ganesa
Arhopala moolaiana
Arhopala nicevillei
Arhopala oenea
Arhopala paraganesa
Arhopala perimuta
Arhopala zeta
Athyma asura
Athyma perius
Atrophaneura aidoneus
Atrophaneura priapus
Atrophaneura zaleucus
Aulocera padma
Baoris oceia
Baoris pagana
Bibasis anadi
Bibasis vasutana
Burara gomata
Byasa plutonius
Callerebia annada
Callerebia daksha
Callerebia hybrida
Callerebia kalinda
Callerebia shallada
Caltoris aurociliata
Caltoris cormasa
Caltoris plebeia
Capila jayadeva
Capila phanaeus
Capila zennara
Caprona agama
Catopsilia gorgophone
Catopsilia scylla
Celaenorrhinus asmara
Celaenorrhinus aspersa
Celaenorrhinus badia
Celaenorrhinus munda
Celaenorrhinus pero
Celaenorrhinus plagifera
Celaenorrhinus pyrrha
Celaenorrhinus sumitra
Celatoxia albidisca
Cepora eperia
Cepora lichenosa
Cepora nerissa
Cepora perimale
Cethosia lamarckii
Cethosia penthesilea
Chaetocneme beata
Charaxes distanti
Charaxes harmodius
Charaxes schreiber
Cheritra jafra
Cheritrella truncipennis
Chrysozephyrus duma
Cigaritis ictis
Cigaritis vulcanus
Cirrochroa orissa
Cirrochroa satellita
Cirrochroa surya
Coelites nothis
Coladenia agnioides
Colias cocandica
Colias eogene
Colias ladakensis
Colias sifanica
Colias stoliczkana
Colias thrasibulus
Colotis eucharis
Colotis vestalis
Cupha crameri
Cupha lampetia
Cupido ariana
Curetis barsine
Curetis santana
Curetis saronis
Cyllogenes suradeva
Cyrestis tabula
Dacalana vidura
Daimio phisara
Daimio sinica
Darpa hanria
Delias berinda
Dercas gobrias
Dercas lycorias
Discophora celinde
Dodona durga
Elymnias casiphone
Elymnias caudata
Elymnias congruens
Elymnias cottonis
Elymnias cybele
Elymnias hypermnestra
Elymnias panthera
Elymnias patna
Enispe cycnus
Erebia cyclopius
Erebia herse
